,center,area_m2,avg_stars,choice,no_truck_length,distance_pool,avg_housing_price,foreclosure_count,foreclosure_over_area
55,"39.921496833501976,-75.18108653149933",74359,4.0,False,0.0,0.004355665323498082,17904.0,1,1.344827122473406e-05
56,"40.07874333604241,-74.96878492272876",262641,,False,0.0,0.0207318015998742,20896.0,0,0.0
57,"40.07185096457172,-74.99787573381776",1146542,3.357142857142857,False,0.0,0.0032652844134167733,22624.0,1,8.721878483300219e-07
58,"40.11922634613978,-75.0302085362024",384323,,False,0.0,0.01622728691747877,28960.0,1,2.601978023693612e-06
59,"39.95664524318303,-75.24187099764197",87705,4.25,False,0.0,0.00489584250301761,6400.0,2,2.2803717005871957e-05
60,"39.95462203104992,-75.24128456106654",87758,2.5,False,0.0,0.005109093722532977,9280.0,3,3.418491761434855e-05
61,"39.98682376775474,-75.13534030935618",231364,4.166666666666667,False,2569.453387949881,0.0004314414900578515,3200.0,1,4.322193599695717e-06
62,"39.98996381193113,-75.13595534800073",164333,2.5,False,1100.804392011983,0.0003766012128701561,992.0,0,0.0
63,"39.99635569516094,-75.14869793018472",179816,3.5,False,0.0,0.0,2016.0,0,0.0
64,"39.99126659616953,-75.1457137128008",142658,2.0,False,0.0,0.003945931772952044,1208.0,2,1.4019543243281133e-05
65,"39.99608367380925,-75.15207676315019",174169,3.0,False,0.0,0.00047524458583004647,1616.0,2,1.148309974794596e-05
66,"39.99859098329315,-75.16038027431541",772852,3.3333333333333335,False,0.0,0.00250352690570825,7712.0,7,9.057361564698027e-06
67,"39.99288241579463,-75.16576059592798",205904,,False,0.0,0.0,3283.5,3,1.4569896650866424e-05
68,"39.99097410406386,-75.17051762595503",148858,,False,0.0,0.0006902339231272689,2656.0,0,0.0
69,"40.00576471565229,-75.17107865082545",372294,3.1666666666666665,False,1193.7945998119699,0.002654622774701387,5152.0,4,1.074419679070842e-05
70,"40.01902820494731,-75.18253414987888",1295848,2.5,False,2974.383328937978,0.012402269466842974,43924.12,0,0.0
71,"40.00494182885781,-75.16205043596511",220334,1.5,False,2984.285314434798,0.009039283345388923,5440.0,3,1.36156925395082e-05
72,"39.998145383840686,-75.1449977923303",146802,,False,0.0,0.00260104786929605,1968.0,1,6.811896295690794e-06
73,"40.00317147135647,-75.1446810600923",311989,1.5,False,0.0,0.003870268495155985,2480.0,4,1.2820964841709163e-05
74,"40.00421149846719,-75.15074246221177",192191,3.230769230769231,False,0.0,0.004512513240554785,8832.0,0,0.0
75,"40.00912537173239,-75.1492805755654",212494,3.4166666666666665,False,425.130944945665,0.006139008533259666,2816.0,5,2.35300761433264e-05
76,"39.99771190129968,-75.13315585731237",207164,2.0,False,0.0,0.00346236006699632,3712.0,1,4.827093510455485e-06
77,"39.99202298041018,-75.13070937639796",164594,3.5,False,1321.963544025352,0.0027130772377780554,1248.0,3,1.8226666828681484e-05
